"3640","18707 MATCH POINT CIR, HUMBLE, TX, 77346","Match","Exact","18707 MATCH POINT CIR, HUMBLE, TX, 77346","-95.152482694527,29.989298168895","636013933","R"
"2306","13250 NORTHWEST FWY, HOUSTON, TX, 77040","Match","Exact","13250 NORTHWEST FWY, HOUSTON, TX, 77040","-95.504513827982,29.848830046866","96643376","R"
"3638","181 W DYNA DR STE E, HOUSTON, TX, 77037","Match","Non_Exact","181 W DYNA DR, HOUSTON, TX, 77037","-95.410552504295,29.921590064128","655854218","R"
"2305","4003 RUSTIC WOODS DR STE B, KINGWOOD, TX, 77339","No_Match"
"3639","7102 NORTH FWY STE B, HOUSTON, TX, 77076","Match","Non_Exact","7102 NORTH FWY, HOUSTON, TX, 77076","-95.404673501747,29.86467380664","96053561","R"
"2304","4765 FM 1960 RD W STE E, HOUSTON, TX, 77069","Match","Non_Exact","4765 FM 1960 RD W, HOUSTON, TX, 77069","-95.502282972779,29.985665117892","233348352","R"
"2303","5130 RICHMOND AVE, HOUSTON, TX, 77056","Match","Exact","5130 RICHMOND AVE, HOUSTON, TX, 77056","-95.461376205102,29.731975868952","96620578","R"
"2302","16000 WOODLAND HILLS DR, HUMBLE, TX, 77346","No_Match"
"2301","7127 SPENCER HWY STE 180, PASADENA, TX, 77505","Match","Exact","7127 SPENCER HWY, PASADENA, TX, 77505","-95.129333329503,29.663615032143","96601371","L"
"2300","505 MAXEY RD, HOUSTON, TX, 77013","Match","Exact","505 MAXEY RD, HOUSTON, TX, 77013","-95.218620404701,29.786399547849","651201626","L"
"3630","2925 W T C JESTER BLVD STE 18, HOUSTON, TX, 77018","Match","Exact","2925 W T C JESTER BLVD, HOUSTON, TX, 77018","-95.445458836442,29.814659187606","96029103","L"
"3631","12087 BEECHNUT ST, HOUSTON, TX, 77072","Match","Exact","12087 BEECHNUT ST, HOUSTON, TX, 77072","-95.591240889348,29.688809152746","96035748","L"
"3632","1548B S MASON RD, KATY, TX, 77450","Match","Non_Exact","1548B S MASON RD, KATY, TX, 77450","-95.751661898631,29.758831182391","96623306","L"
"3633","4019 PITTS RD STE 103, KATY, TX, 77493","No_Match"
"3634","9401 KATY FWY STE D, HOUSTON, TX, 77024","Match","Non_Exact","9401 KATY FWY, HOUSTON, TX, 77024","-95.524052735987,29.783719178338","96630860","L"
"2309","7219 BIRCHTREE FOREST DR, HOUSTON, TX, 77088","Match","Exact","7219 BIRCHTREE FOREST DR, HOUSTON, TX, 77088","-95.459660855556,29.865933447611","96027468","L"
"3635","8815 FAIRBANKS N HOUSTON RD, HOUSTON, TX, 77064","Match","Exact","8815 FAIRBANKS N HOUSTON RD, HOUSTON, TX, 77064","-95.525119283983,29.910534606811","96651469","L"
"2308","252 E CROSSTIMBERS ST, HOUSTON, TX, 77022","Match","Exact","252 E CROSSTIMBERS ST, HOUSTON, TX, 77022","-95.372552111049,29.828343645951","96640001","R"
"3636","22824 HUFSMITH KOHRVILLE RD, TOMBALL, TX, 77375","Match","Exact","22824 HUFSMITH KOHRVILLE RD, TOMBALL, TX, 77375","-95.593956828173,30.094060570511","649409872","L"
"2307","4665 GARTH RD STE 800, BAYTOWN, TX, 77521","Match","Exact","4665 GARTH RD, BAYTOWN, TX, 77521","-94.977744062568,29.775886304406","96634356","L"
"3637","11035B HOMESTEAD RD, HOUSTON, TX, 77016","Match","Non_Exact","11035B HOMESTEAD RD, HOUSTON, TX, 77016","-95.300662116403,29.876534178512","96075285","L"
"3650","3220 HIGHWAY 6 S, HOUSTON, TX, 77082","No_Match"
"3651","631 SOUTHMORE AVE, PASADENA, TX, 77502","Match","Exact","631 SOUTHMORE AVE, PASADENA, TX, 77502","-95.205838336485,29.690893089731","96103850","L"
"2320","6627 BRITTMOORE RD, HOUSTON, TX, 77041","Match","Exact","6627 BRITTMOORE RD, HOUSTON, TX, 77041","-95.569246076642,29.866203511836","96018894","L"
"0","3423 GARTH RD SPC 10, BAYTOWN, TX, 77521","Match","Exact","3423 GARTH RD, BAYTOWN, TX, 77521","-94.977348575877,29.758530546512","96627164","L"
"2317","8630A CULLEN BLVD, HOUSTON, TX, 77051","Match","Non_Exact","8630A CULLEN BLVD, HOUSTON, TX, 77051","-95.355755387675,29.667419622442","96089719","R"
"3649","9252 RICHMOND AVE, HOUSTON, TX, 77063","Match","Exact","9252 RICHMOND AVE, HOUSTON, TX, 77063","-95.527480422881,29.729053245781","96613996","R"
"1","9968 BELLAIRE BLVD STE 180, HOUSTON, TX, 77036","Match","Exact","9968 BELLAIRE BLVD, HOUSTON, TX, 77036","-95.556320464488,29.704610872909","638594571","R"
"2316","1001 GEORGIA AVE, DEER PARK, TX, 77536","Match","Exact","1001 GEORGIA AVE, DEER PARK, TX, 77536","-95.134986855625,29.702555355939","96612008","R"
"2","10502 HUFFMEISTER RD STE C, HOUSTON, TX, 77065","Match","Non_Exact","10502 HUFFMEISTER RD, HOUSTON, TX, 77065","-95.628601370337,29.929202642243","630699961","R"
"2315","7503 BOONE RD, HOUSTON, TX, 77072","Match","Exact","7503 BOONE RD, HOUSTON, TX, 77072","-95.575215380008,29.696681191043","96023910","L"
