"1462","2424 ROCK ISLAND RD, IRVING, TX, 75060","Match","Exact","2424 ROCK ISLAND RD, IRVING, TX, 75060","-96.976808283339,32.815268968156","103003797","L"
"1461","908 S RIVERFRONT BLVD, DALLAS, TX, 75207","No_Match"
"1460","9015 LEASIDE DR, DALLAS, TX, 75238","Match","Exact","9015 LEASIDE DR, DALLAS, TX, 75238","-96.702350971957,32.869984163812","102922162","L"
"1459","10025 N MACARTHUR BLVD, IRVING, TX, 75063","Match","Exact","10025 N MACARTHUR BLVD, IRVING, TX, 75063","-96.952214455819,32.940460342305","102985990","R"
"1458","3227 MCKINNEY AVE APT 9J, DALLAS, TX, 75204","Match","Exact","3227 MCKINNEY AVE, DALLAS, TX, 75204","-96.800055181287,32.803384063986","102909161","L"
"1457","2050 N STEMMONS FWY UNIT 103, DALLAS, TX, 75207","Match","Exact","2050 N STEMMONS FWY, DALLAS, TX, 75207","-96.825002487163,32.801838903015","103258271","R"
"1456","11740 FERGUSON RD, DALLAS, TX, 75228","Match","Exact","11740 FERGUSON RD, DALLAS, TX, 75228","-96.649578866484,32.855021597161","103278899","R"
"1455","2780 ROYAL LN STE A, DALLAS, TX, 75229","Match","Non_Exact","2780 ROYAL LN, DALLAS, TX, 75229","-96.88384522872,32.895026949095","103243597","L"
"1454","4467 ROSS AVE, DALLAS, TX, 75204","Match","Exact","4467 ROSS AVE, DALLAS, TX, 75204","-96.780736967333,32.802526841399","102911038","L"
"1453","3726 W DAVIS ST, DALLAS, TX, 75211","Match","Exact","3726 W DAVIS ST, DALLAS, TX, 75211","-96.879492441259,32.749502616917","102940001","L"
"1452","3701 W CLARENDON DR STE 100, COCKRELL HILL, TX, 75211","Tie"
"1473","207 W 6TH ST, IRVING, TX, 75060","Match","Exact","207 W SIXTH ST, IRVING, TX, 75060","-96.947689411203,32.808651559545","102892722","R"
"1472","8190 PARK LN STE 351, DALLAS, TX, 75231","Match","Exact","8190 PARK LN, DALLAS, TX, 75231","-96.76507746928,32.871700232765","647948863","R"
"1471","2532 OLD DENTON RD STE 100, CARROLLTON, TX, 75006","Match","Exact","2532 OLD DENTON RD, CARROLLTON, TX, 75006","-96.90974922484,32.979730904837","638386405","R"
"1470","1727 BARNES BRIDGE RD, DALLAS, TX, 75228","Match","Exact","1727 BARNES BRIDGE RD, DALLAS, TX, 75228","-96.678783799175,32.850744539989","103203996","L"
"0","3046 FOREST LN STE B, DALLAS, TX, 75234","Match","Non_Exact","3046 FOREST LN, DALLAS, TX, 75234","-96.875627017026,32.909523384707","634282456","R"
"1","1122 W CENTERVILLE RD, GARLAND, TX, 75041","No_Match"
"1469","4154 PREFERRED PL, DALLAS, TX, 75237","Match","Exact","4154 PREFERRED PL, DALLAS, TX, 75237","-96.886079536712,32.660563060322","102943699","R"
